Name,Age,Rides
Avery Gonzalez,25yr,Twist 'n' Spew
Henry Lopez,22yr,Barf-o-Blaster; Whirling Whip Lash; Puke-a-palooza
Amelia Smith,66yr,Dizzy Dropper; Barf-o-Blaster
Henry Smith,17yr,Dizzy Dropper
Noah Scott,102yr,Whirling Whip Lash
Benjamin Martinez,26yr,Gut Buster Spin
Isabella Torres,95yr,Puke-a-palooza; Dizzy Dropper
Emily Green,51yr,Dizzy Dropper; Puke-a-palooza; Barf-o-Blaster
Zoey Campbell,88yr,Barf-o-Blaster; Whirling Whip Lash
Avery Baker,68yr,Puke-a-palooza; Twist 'n' Spew
William Perez,34yr,Dizzy Dropper; Whirling Whip Lash; Puke-a-palooza
Amelia Ramirez,23yr,Whirling Whip Lash; Puke-a-palooza; Gut Buster Spin
Lily Hall,5yr,Twist 'n' Spew; Gut Buster Spin; Barf-o-Blaster
Lily Hill,55yr,Barf-o-Blaster; Whirling Whip Lash
Emma Brown,107yr,Whirling Whip Lash; Dizzy Dropper; Puke-a-palooza
Zoey Moore,20yr,Puke-a-palooza; Whirling Whip Lash; Gut Buster Spin
Emma Baker,67yr,Twist 'n' Spew; Puke-a-palooza
Mary Jones,64yr,Gut Buster Spin; Twist 'n' Spew
Logan Ramirez,49yr,Puke-a-palooza; Barf-o-Blaster
Sophia Nelson,69yr,Puke-a-palooza
Liam Thomas,23yr,Gut Buster Spin; Twist 'n' Spew; Whirling Whip Lash
William Lopez,33yr,Twist 'n' Spew
Samuel Green,20yr,Barf-o-Blaster
Tom Thompson,5yr,Twist 'n' Spew; Gut Buster Spin
Ethan Hernandez,85yr,Puke-a-palooza; Whirling Whip Lash
Sebastian Scott,36yr,Whirling Whip Lash; Twist 'n' Spew
Amelia Wilson,109yr,Puke-a-palooza
Riley Baker,55yr,Barf-o-Blaster
Aria Thompson,17yr,Whirling Whip Lash
Aria Mitchell,94yr,Gut Buster Spin
Ella Adams,39yr,Barf-o-Blaster; Puke-a-palooza
Logan Williams,95yr,Barf-o-Blaster; Puke-a-palooza; Gut Buster Spin
Matthew Ramirez,22yr,Twist 'n' Spew; Puke-a-palooza
Amelia Miller,52yr,Dizzy Dropper; Puke-a-palooza
Avery Anderson,46yr,Twist 'n' Spew; Gut Buster Spin
Elizabeth Roberts,41yr,Gut Buster Spin; Puke-a-palooza
Evelyn Miller,3yr,Barf-o-Blaster
Aria Moore,7yr,Puke-a-palooza; Twist 'n' Spew; Dizzy Dropper
Noah Adams,66yr,Barf-o-Blaster
Joseph Nelson,66yr,Twist 'n' Spew
Ethan Williams,33yr,Dizzy Dropper
